kind,dataset,actual_h,avg_degree,ccns_diag_mean,ccns_offdiag_mean,ccns_contrast,ccns_fro_norm
clean,clean_h0.618455,0.618455410595459,24.074666666666666,0.03833159345624081,0.019121761192762154,0.01920983226347866,0.4216307378371229
clean,clean_h0.574792,0.5712740473877898,57.034,0.03929003969387237,0.01738544835059036,0.021904591343282008,0.39675968105643744
clean,clean_h0.52253,0.5244423760134089,67.79933333333334,0.04223327861198371,0.021166552350152665,0.021066726261831047,0.4665676577289812
clean,clean_h0.459335,0.465099851735682,86.75466666666667,0.04715169516052371,0.027773283648790614,0.0193784115117331,0.5915263464277044
clean,clean_h0.379453,0.3717326141969347,131.61666666666667,0.060212666411737434,0.04655364584045562,0.013659020571281814,0.9601366110371904
edge,add0_h0.6,0.618455410595459,24.074666666666666,0.03833159345624081,0.019121761192762154,0.01920983226347866,0.4216307378371229
edge,add0p1_h0.6,0.5747920651822348,26.482,0.04827597712348618,0.03262003453427292,0.01565594258921326,0.6772591198961958
edge,add0p25_h0.6,0.5225304033834343,30.093333333333334,0.057408645028785586,0.04484114748263052,0.01256749754615507,0.9186837915724521
edge,add0p5_h0.6,0.4593347032886122,36.112,0.06559270564642893,0.056020550270236856,0.00957215537619207,1.1418217311861572
edge,add1_h0.6,0.3794534241700461,48.14933333333333,0.07431210313285483,0.0678869852162261,0.006425117916628725,1.3826618150844558
