model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,paper_synth1_h0.4,data/synthetic_paperbase/paper_synth1_h0.4,0,0.6,256,0.01,0.0005,24,0.6508275493860117,0.23452509802211563,0.7242942384693071,0.294312011064331
GCN,paper_synth1_h0.4,data/synthetic_paperbase/paper_synth1_h0.4,1,0.6,256,0.01,0.0005,23,0.6628571428571428,0.23128340596508262,0.746941727514985,0.3078380265308104
GCN,paper_synth1_h0.4,data/synthetic_paperbase/paper_synth1_h0.4,2,0.6,256,0.01,0.0005,25,0.6820721178263077,0.24963960644690353,0.7247269571853291,0.3026145155272598
GCN,paper_synth1_h0.8,data/synthetic_paperbase/paper_synth1_h0.8,0,0.6,256,0.01,0.0005,99,0.782701548318206,0.32528716050048206,0.8389419105629378,0.4004241853009029
GCN,paper_synth1_h0.8,data/synthetic_paperbase/paper_synth1_h0.8,1,0.6,256,0.01,0.0005,99,0.8015584415584416,0.3430118217354467,0.8516431822197056,0.39705683289603033
GCN,paper_synth1_h0.8,data/synthetic_paperbase/paper_synth1_h0.8,2,0.6,256,0.01,0.0005,99,0.797866937531742,0.32176187430063524,0.8406223311033258,0.40444390728805013
H2GCN,paper_synth1_h0.4,data/synthetic_paperbase/paper_synth1_h0.4,0,0.6,64,0.001,0.0005,73,0.6631073144687667,0.25240680399954485,0.665603230286558,0.23415685923899163
H2GCN,paper_synth1_h0.4,data/synthetic_paperbase/paper_synth1_h0.4,1,0.6,64,0.001,0.0005,25,0.6446753246753246,0.24007206036143844,0.6650428464188334,0.23419524253165663
